IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.212.175,2082,2082,FALSE,JP,Asia Pacific,Tokyo,91,11.84
89.168.115.185,443,443,TRUE,DE,Europe,DEnkfurt,179,11.84
141.147.160.221,2052,2052,FALSE,JP,Asia Pacific,Tokyo,70,11.84
158.179.190.253,2083,2083,TRUE,JP,Asia Pacific,Tokyo,71,11.84
158.101.65.24,8880,8880,FALSE,JP,Asia Pacific,Tokyo,71,11.83
138.3.223.50,8880,8880,FALSE,JP,Asia Pacific,Tokyo,79,11.83
158.101.90.190,8080,8080,FALSE,JP,Asia Pacific,Tokyo,76,11.83
131.186.59.94,80,80,FALSE,JP,Asia Pacific,Tokyo,78,11.82
151.145.74.56,8880,8880,FALSE,JP,Asia Pacific,Tokyo,90,11.82
141.147.162.204,8080,8080,FALSE,JP,Asia Pacific,Tokyo,85,11.82
138.3.212.226,80,80,FALSE,JP,Asia Pacific,Tokyo,92,11.82
158.101.137.96,2086,2086,FALSE,JP,Asia Pacific,Tokyo,72,11.82
132.145.117.216,8080,8080,FALSE,JP,Asia Pacific,Tokyo,102,11.81
168.138.205.38,2082,2082,FALSE,JP,Asia Pacific,Tokyo,91,11.81
131.186.37.49,2052,2052,FALSE,JP,Asia Pacific,Tokyo,69,11.81
158.101.147.4,2082,2082,FALSE,JP,Asia Pacific,Tokyo,76,11.81
158.101.137.74,80,80,FALSE,JP,Asia Pacific,Tokyo,80,11.81
168.138.202.169,2095,2095,FALSE,JP,Asia Pacific,Tokyo,87,11.79
138.3.220.4,2082,2082,FALSE,JP,Asia Pacific,Tokyo,80,11.79
84.235.161.127,443,443,TRUE,DE,Europe,DEnkfurt,206,11.79
168.138.198.53,2086,2086,FALSE,JP,Asia Pacific,Tokyo,68,11.78
158.101.69.144,2086,2086,FALSE,JP,Asia Pacific,Tokyo,80,11.77
158.101.149.71,2052,2052,FALSE,JP,Asia Pacific,Tokyo,81,11.77
132.145.114.250,2052,2052,FALSE,JP,Asia Pacific,Tokyo,79,11.76
131.186.60.162,8443,8443,TRUE,JP,Asia Pacific,Tokyo,100,11.75
158.101.144.189,2052,2052,FALSE,JP,Asia Pacific,Tokyo,83,11.74
158.101.136.239,8080,8080,FALSE,JP,Asia Pacific,Tokyo,78,11.74
